GENDER,AGEGRP1,AGEGRP2,NGROUP,ORGANICS,REGION,CLASS,ORGYN,AFFL,LTIME
F,20-40,30-40,F,1,Midlands,Tin,1,15,8
F,60-80,70-80,C,0,South East,Silver,0,9,5
U,60-80,60-70,E,1,South West,Silver,1,8,6
U,40-60,40-50,A,0,North,Silver,0,8,3
F,40-60,50-60,D,0,South East,Tin,0,7,8
M,40-60,50-60,B,0,Scottish,Gold,0,9,4
F,20-40,30-40,D,0,Midlands,Tin,0,4,5
U,40-60,50-60,E,0,Scottish,Silver,0,8,7
U,60-80,60-70,B,0,North,Tin,0,7,5
F,40-60,50-60,D,0,North,Silver,0,7,10
F,60-80,60-70,D,0,North,Platinum,0,5,7
F,40-60,40-50,C,0,South East,Silver,0,3,10
M,20-40,30-40,E,1,North,Gold,1,10,2
M,40-60,50-60,E,1,South East,Silver,1,6,6
U,20-40,30-40,D,0,Midlands,Tin,0,10,5
F,40-60,40-50,C,0,South East,Silver,0,7,4
F,60-80,60-70,B,0,South East,Gold,0,7,11
M,20-40,20-30,B,0,South East,Silver,0,9,1
F,60-80,60-70,E,0,North,Silver,0,7,5
F,40-60,40-50,E,0,South West,Gold,0,6,2
F,60-80,70-80,E,0,Midlands,Gold,0,7,5
F,60-80,60-70,C,0,Midlands,Gold,0,3,3
F,40-60,40-50,D,0,North,Tin,0,2,5
U,40-60,50-60,D,0,Scottish,Tin,0,10,5
F,60-80,60-70,E,0,South East,Gold,0,13,6
U,60-80,70-80,A,0,South East,Platinum,0,14,3
M,40-60,50-60,D,0,Midlands,Tin,0,5,8
M,40-60,50-60,C,0,Scottish,Silver,0,5,8
F,60-80,60-70,A,0,South East,Platinum,0,9,1
F,40-60,50-60,F,0,South East,Silver,0,6,1
U,40-60,50-60,A,0,South East,Silver,0,5,2
M,20-40,30-40,C,0,South East,Tin,0,11,4
F,60-80,60-70,F,0,Midlands,Gold,0,8,2
F,60-80,60-70,C,0,South East,Silver,0,8,9
F,20-40,30-40,D,1,Midlands,Tin,1,11,5
F,40-60,40-50,E,0,Midlands,Silver,0,4,11
M,40-60,40-50,D,0,South East,Tin,0,8,8
F,40-60,40-50,A,1,South East,Silver,1,8,11
F,20-40,30-40,D,1,North,Tin,1,9,5
M,60-80,60-70,F,0,North,Gold,0,4,5
U,60-80,70-80,F,0,North,Platinum,0,11,4
F,40-60,50-60,B,0,Scottish,Gold,0,5,8
F,40-60,50-60,E,1,Midlands,Silver,1,6,4
F,40-60,50-60,A,0,South East,Silver,0,9,8
M,40-60,40-50,F,0,South East,Tin,0,6,5
M,20-40,30-40,C,1,Unknown,Tin,1,10,4
F,40-60,50-60,E,0,North,Silver,0,5,4
F,20-40,30-40,D,1,North,Tin,1,8,5
M,20-40,30-40,D,1,South East,Tin,1,11,8
M,60-80,70-80,A,0,North,Gold,0,4,12
M,40-60,50-60,B,0,Scottish,Tin,0,10,4
M,40-60,50-60,D,0,South West,Silver,0,8,11
M,40-60,50-60,B,0,South East,Gold,0,13,5
F,40-60,50-60,E,0,South East,Silver,0,9,19
M,40-60,40-50,C,0,North,Tin,0,13,5
F,40-60,40-50,D,0,South East,Tin,0,8,5
M,60-80,70-80,C,0,South East,Gold,0,4,2
M,40-60,40-50,E,0,North,Silver,0,10,1
F,40-60,50-60,D,0,South East,Silver,0,9,9
F,40-60,50-60,D,0,Midlands,Tin,0,8,8
F,40-60,40-50,B,0,South East,Gold,0,5,1
F,20-40,20-30,F,1,Midlands,Silver,1,14,1
F,60-80,60-70,D,1,South East,Platinum,1,3,4
F,40-60,40-50,D,0,North,Silver,0,8,4
F,60-80,70-80,A,0,South East,Gold,0,7,6
F,60-80,60-70,D,0,South East,Gold,0,10,8
F,60-80,70-80,C,0,South East,Gold,0,10,5
F,40-60,40-50,D,1,North,Tin,1,10,5
F,40-60,40-50,E,0,South West,Silver,0,11,9
U,60-80,60-70,F,0,South East,Silver,0,9,5
M,40-60,40-50,D,0,South East,Gold,0,7,12
F,20-40,20-30,F,0,Midlands,Silver,0,8,12
F,40-60,50-60,C,1,Midlands,Tin,1,7,5
M,60-80,60-70,E,0,Midlands,Silver,0,9,12
M,40-60,40-50,D,1,South East,Silver,1,10,5
F,40-60,50-60,F,2,South East,Gold,1,17,8
F,20-40,30-40,F,0,North,Tin,0,8,5
U,40-60,50-60,B,0,South East,Gold,0,5,2
U,60-80,60-70,F,0,North,Tin,0,10,4
F,60-80,60-70,C,0,North,Silver,0,3,4
F,40-60,50-60,C,1,South East,Silver,1,15,8
F,40-60,40-50,U,0,Midlands,Tin,0,8,5
F,40-60,50-60,B,0,Midlands,Silver,0,18,3
F,40-60,50-60,D,0,Scottish,Silver,0,5,11
M,40-60,40-50,A,0,South East,Tin,0,9,9
U,40-60,40-50,D,0,South East,Tin,0,5,5
F,40-60,40-50,E,2,Midlands,Silver,1,15,5
F,60-80,60-70,C,0,Midlands,Gold,0,4,1
F,20-40,30-40,C,1,Midlands,Tin,1,9,5
M,60-80,60-70,E,0,South East,Gold,0,7,6
F,60-80,70-80,F,0,Midlands,Gold,0,12,2
F,40-60,50-60,D,0,North,Tin,0,4,8
M,60-80,70-80,A,1,North,Silver,1,8,1
F,20-40,30-40,D,1,Midlands,Tin,1,8,9
F,20-40,30-40,C,1,Midlands,Silver,1,8,1
F,60-80,70-80,A,0,South East,Silver,0,11,4
M,60-80,60-70,D,0,North,Gold,0,9,5
F,40-60,50-60,E,0,Midlands,Silver,0,5,2
F,20-40,30-40,D,0,Scottish,Silver,0,10,4
F,40-60,40-50,C,0,Scottish,Gold,0,6,1
F,40-60,40-50,E,0,South East,Gold,0,3,5
F,60-80,60-70,E,0,South East,Platinum,0,5,0
M,20-40,30-40,U,1,Midlands,Gold,1,9,11
U,40-60,40-50,B,0,South East,Gold,0,4,3
U,60-80,60-70,E,0,Scottish,Silver,0,3,18
U,60-80,70-80,B,0,Midlands,Platinum,0,10,4
U,40-60,50-60,D,0,Midlands,Silver,0,11,5
F,40-60,40-50,E,0,South East,Silver,0,12,3
F,60-80,60-70,E,0,Midlands,Silver,0,4,7
U,60-80,60-70,B,0,Midlands,Silver,0,4,5
F,60-80,70-80,E,1,South East,Gold,1,5,7
U,60-80,60-70,D,0,Midlands,Silver,0,5,8
U,60-80,70-80,C,0,North,Gold,0,5,1
F,40-60,50-60,U,0,South East,Tin,0,5,5
F,40-60,40-50,B,0,North,Tin,0,8,4
U,60-80,70-80,D,1,Midlands,Gold,1,8,17
F,40-60,40-50,D,0,South East,Tin,0,7,5
F,60-80,60-70,C,0,South East,Gold,0,8,2
F,20-40,30-40,E,0,North,Silver,0,12,9
F,40-60,40-50,D,0,North,Silver,0,11,5
F,40-60,40-50,F,0,Midlands,Tin,0,9,8
U,60-80,60-70,C,0,South East,Gold,0,8,2
F,40-60,50-60,A,2,South East,Silver,1,17,13
F,20-40,30-40,C,0,South East,Tin,0,9,5
F,60-80,60-70,B,0,South East,Gold,0,7,2
F,20-40,20-30,C,2,South East,Silver,1,20,1
U,40-60,50-60,F,0,Midlands,Tin,0,6,5
F,60-80,60-70,B,0,South East,Gold,0,8,1
U,20-40,30-40,F,3,North,Tin,1,15,5
M,40-60,50-60,U,0,Midlands,Silver,0,10,6
U,60-80,60-70,B,0,South East,Silver,0,8,7
F,40-60,50-60,F,0,Midlands,Gold,0,8,2
F,20-40,20-30,C,1,Scottish,Gold,1,8,2
F,20-40,30-40,E,1,South East,Tin,1,6,9
F,40-60,40-50,D,0,South East,Silver,0,8,10
M,20-40,30-40,E,0,North,Tin,0,7,5
M,40-60,40-50,C,0,Scottish,Tin,0,7,5
U,20-40,20-30,A,0,Midlands,Gold,0,4,3
U,20-40,30-40,E,0,Midlands,Tin,0,8,8
F,20-40,30-40,B,2,North,Silver,1,15,7
M,60-80,60-70,F,0,South East,Silver,0,9,7
U,20-40,30-40,F,0,Midlands,Silver,0,8,1
M,40-60,50-60,D,0,Scottish,Gold,0,8,8
F,40-60,50-60,C,0,South East,Silver,0,5,2
M,40-60,50-60,B,0,North,Gold,0,9,3
F,20-40,30-40,F,2,North,Tin,1,16,5
U,60-80,60-70,D,0,South West,Gold,0,8,2
M,20-40,30-40,U,0,North,Tin,0,3,5
F,60-80,60-70,B,0,South East,Tin,0,7,8
F,20-40,30-40,E,1,Midlands,Silver,1,14,10
F,40-60,40-50,F,1,Scottish,Gold,1,9,2
M,60-80,60-70,E,0,North,Silver,0,6,8
F,40-60,40-50,F,1,Midlands,Tin,1,11,5
M,40-60,50-60,C,0,North,Gold,0,9,6
F,40-60,40-50,C,0,South East,Silver,0,8,9
U,60-80,60-70,B,0,Midlands,Gold,0,5,5
F,40-60,50-60,D,0,Midlands,Tin,0,13,8
F,40-60,40-50,U,1,Unknown,Tin,1,13,5
F,60-80,70-80,U,0,Midlands,Silver,0,7,5
M,60-80,70-80,B,0,Midlands,Gold,0,5,8
F,60-80,60-70,A,1,South East,Silver,1,8,8
F,40-60,40-50,A,0,South East,Silver,0,9,8
M,60-80,60-70,C,0,South East,Silver,0,9,3
M,20-40,30-40,F,0,South West,Silver,0,12,5
F,20-40,30-40,D,1,Midlands,Tin,1,9,4
M,40-60,40-50,C,0,North,Gold,0,11,5
M,40-60,40-50,C,0,North,Silver,0,14,4
M,60-80,60-70,C,1,North,Tin,1,4,5
F,60-80,70-80,C,0,South East,Gold,0,9,1
F,40-60,40-50,D,0,South East,Silver,0,8,8
F,40-60,50-60,D,0,South East,Tin,0,2,8
F,60-80,60-70,U,0,Midlands,Silver,0,8,8
F,40-60,50-60,F,0,South East,Silver,0,6,11
F,40-60,50-60,D,0,North,Tin,0,7,5
F,20-40,30-40,F,1,South East,Tin,1,18,6
M,40-60,50-60,F,0,Midlands,Gold,0,6,2
M,40-60,50-60,C,0,South East,Silver,0,8,5
M,40-60,50-60,E,0,Scottish,Tin,0,8,4
F,40-60,50-60,D,0,Midlands,Silver,0,11,2
M,60-80,60-70,F,1,South West,Silver,1,6,2
M,40-60,40-50,E,0,North,Tin,0,15,6
F,40-60,40-50,F,0,South East,Tin,0,6,8
F,20-40,30-40,A,0,South East,Tin,0,7,7
U,60-80,70-80,A,0,Midlands,Gold,0,5,2
M,20-40,30-40,F,0,Midlands,Tin,0,8,5
F,60-80,70-80,D,0,South East,Tin,0,13,8
M,40-60,40-50,D,1,South East,Tin,1,11,4
U,60-80,70-80,F,0,Scottish,Silver,0,6,8
U,40-60,40-50,D,0,North,Silver,0,11,8
F,60-80,60-70,C,0,Midlands,Gold,0,7,8
U,40-60,50-60,E,0,South East,Tin,0,6,5
U,60-80,60-70,C,0,Midlands,Gold,0,7,5
U,60-80,60-70,C,0,Midlands,Tin,0,3,8
F,60-80,70-80,F,0,South East,Gold,0,6,5
M,40-60,50-60,B,0,Midlands,Gold,0,9,2
M,40-60,40-50,F,0,Midlands,Gold,0,7,3
U,60-80,60-70,B,0,South East,Silver,0,13,8
F,40-60,40-50,D,0,Midlands,Tin,0,6,4
F,60-80,70-80,F,0,Scottish,Silver,0,5,32
F,60-80,70-80,A,1,South East,Platinum,1,8,4
F,40-60,50-60,D,0,South East,Gold,0,14,5
F,40-60,50-60,D,0,Midlands,Tin,0,11,5
F,60-80,60-70,F,0,Unknown,Silver,0,9,1
F,40-60,50-60,C,0,Midlands,Gold,0,9,7
F,60-80,60-70,E,0,Midlands,Silver,0,6,27
M,60-80,60-70,D,0,North,Gold,0,10,4
F,20-40,30-40,E,1,Midlands,Tin,1,8,4
M,20-40,30-40,C,2,North,Tin,1,20,8
F,20-40,30-40,C,1,Midlands,Tin,1,7,4
F,40-60,50-60,F,0,Midlands,Silver,0,8,9
F,20-40,30-40,C,1,Midlands,Tin,1,10,4
M,60-80,70-80,C,1,South East,Silver,1,13,5
F,60-80,60-70,A,0,South East,Gold,0,9,11
F,60-80,60-70,C,0,North,Silver,0,13,11
F,60-80,70-80,D,0,Midlands,Gold,0,12,11
F,40-60,50-60,D,0,Midlands,Tin,0,7,8
F,60-80,60-70,F,0,North,Silver,0,5,5
F,40-60,50-60,A,0,Midlands,Gold,0,6,4
F,60-80,70-80,B,0,South East,Silver,0,14,11
F,60-80,70-80,E,0,South East,Silver,0,10,12
F,60-80,60-70,D,0,Midlands,Silver,0,7,5
M,40-60,50-60,D,1,Midlands,Gold,1,7,11
F,20-40,30-40,C,3,Midlands,Silver,1,18,8
U,20-40,30-40,F,0,North,Gold,0,8,5
F,40-60,50-60,C,0,Scottish,Gold,0,5,22
F,20-40,20-30,D,0,South East,Silver,0,6,7
U,60-80,70-80,B,0,South East,Platinum,0,5,12
F,60-80,60-70,D,0,South East,Gold,0,9,8
F,40-60,50-60,F,0,Midlands,Tin,0,7,2
M,40-60,50-60,E,0,North,Tin,0,7,10
F,20-40,30-40,F,1,Unknown,Silver,1,9,1
F,40-60,50-60,F,0,Midlands,Silver,0,10,8
F,60-80,70-80,E,0,Midlands,Tin,0,10,6
F,20-40,30-40,F,0,South East,Silver,0,7,4
F,60-80,70-80,A,1,South East,Silver,1,7,3
M,40-60,40-50,C,2,South East,Silver,1,22,6
U,60-80,60-70,U,0,Midlands,Silver,0,9,4
F,40-60,50-60,C,0,Midlands,Silver,0,6,27
F,20-40,30-40,D,0,Midlands,Tin,0,10,8
U,60-80,60-70,A,0,Midlands,Silver,0,6,4
M,60-80,70-80,B,0,South East,Silver,0,8,8
F,60-80,60-70,A,1,South East,Gold,1,8,4
F,40-60,40-50,F,0,South East,Silver,0,9,4
U,60-80,70-80,E,0,North,Gold,0,8,15
F,40-60,40-50,F,0,South East,Gold,0,5,3
M,40-60,40-50,D,1,Scottish,Tin,1,12,7
F,40-60,50-60,A,0,South West,Gold,0,13,30
F,40-60,40-50,B,0,South East,Silver,0,13,8
F,60-80,70-80,B,0,South East,Silver,0,8,13
U,40-60,40-50,F,0,North,Tin,0,7,9
M,40-60,50-60,B,0,South East,Silver,0,10,2
U,60-80,60-70,C,1,Midlands,Silver,1,9,5
M,60-80,60-70,D,0,Scottish,Silver,0,9,9
M,40-60,50-60,B,0,North,Tin,0,5,11
M,60-80,70-80,U,0,Midlands,Gold,0,8,6
U,40-60,40-50,F,0,North,Silver,0,6,9
F,40-60,40-50,D,1,South East,Tin,1,9,5
F,40-60,50-60,B,0,South East,Tin,0,6,5
F,40-60,50-60,B,0,South East,Tin,0,8,8
F,40-60,50-60,C,0,Midlands,Gold,0,11,7
F,20-40,30-40,E,2,Midlands,Tin,1,26,4
F,20-40,30-40,D,1,South West,Tin,1,8,4
M,40-60,50-60,C,0,South East,Tin,0,9,11
M,60-80,60-70,C,0,Midlands,Silver,0,8,6
F,40-60,40-50,D,0,South East,Gold,0,8,5
M,60-80,60-70,A,0,South East,Silver,0,9,4
F,40-60,40-50,C,0,South East,Tin,0,14,8
F,60-80,60-70,C,0,Midlands,Silver,0,3,11
M,20-40,30-40,B,0,South East,Silver,0,10,13
M,40-60,50-60,F,0,Midlands,Tin,0,10,4
F,40-60,50-60,B,0,Scottish,Silver,0,11,9
F,40-60,40-50,B,0,Midlands,Silver,0,2,5
F,40-60,40-50,B,0,South East,Gold,0,9,5
M,40-60,50-60,D,0,North,Silver,0,6,8
U,60-80,60-70,C,0,Midlands,Silver,0,5,8
U,60-80,60-70,D,0,Scottish,Gold,0,9,14
F,40-60,40-50,F,2,Scottish,Tin,1,13,4
F,20-40,30-40,E,1,South East,Tin,1,9,6
F,20-40,20-30,B,1,North,Silver,1,9,3
M,60-80,70-80,A,0,South East,Silver,0,10,27
U,40-60,40-50,C,0,South East,Tin,0,10,5
M,60-80,60-70,B,0,South East,Silver,0,8,5
M,40-60,40-50,B,0,Midlands,Tin,0,5,4
F,60-80,70-80,F,1,South East,Silver,1,8,3
M,60-80,60-70,A,0,South East,Tin,0,8,5
F,40-60,50-60,E,0,South East,Tin,0,7,9
F,40-60,40-50,D,0,Midlands,Gold,0,9,2
M,40-60,40-50,D,0,Midlands,Tin,0,9,4
F,40-60,50-60,B,0,Unknown,Silver,0,7,1
F,60-80,60-70,D,1,North,Silver,1,10,3
M,40-60,50-60,E,0,South West,Silver,0,8,8
U,40-60,50-60,F,0,Scottish,Tin,0,10,5
F,60-80,60-70,F,0,Midlands,Tin,0,8,9
F,60-80,70-80,C,1,North,Gold,1,5,3
M,40-60,40-50,A,0,Scottish,Silver,0,11,11
U,60-80,60-70,E,0,Midlands,Gold,0,9,2
F,40-60,50-60,C,0,Midlands,Gold,0,12,4
M,40-60,40-50,C,0,South East,Tin,0,8,20
F,60-80,60-70,D,1,South East,Gold,1,9,5
M,40-60,50-60,C,0,South East,Silver,0,4,9
F,40-60,50-60,U,0,Midlands,Gold,0,3,4
M,60-80,60-70,C,0,South East,Gold,0,8,8
F,20-40,20-30,F,1,South East,Tin,1,7,4
M,60-80,60-70,B,0,South East,Silver,0,10,7
F,40-60,40-50,D,1,North,Tin,1,18,5
U,20-40,30-40,F,1,Midlands,Silver,1,8,7
F,60-80,60-70,D,0,South East,Silver,0,4,9
M,40-60,40-50,E,0,South East,Gold,0,8,2
F,40-60,40-50,D,0,South East,Tin,0,10,4
U,40-60,40-50,B,0,North,Tin,0,2,5
F,60-80,70-80,E,0,Midlands,Tin,0,6,9
M,60-80,60-70,B,0,North,Gold,0,11,10
M,60-80,60-70,B,0,North,Gold,0,13,8
U,20-40,30-40,C,2,South East,Silver,1,8,8
F,20-40,20-30,C,1,Midlands,Silver,1,11,3
F,40-60,40-50,C,0,Midlands,Platinum,0,5,9
U,20-40,30-40,E,1,North,Tin,1,10,5
F,40-60,50-60,F,0,South East,Gold,0,6,1
U,40-60,50-60,E,0,North,Gold,0,6,2
M,60-80,60-70,C,0,Scottish,Gold,0,6,4
M,60-80,70-80,F,0,South East,Gold,0,5,16
F,40-60,40-50,C,0,Midlands,Tin,0,6,5
F,20-40,20-30,C,1,North,Silver,1,4,7
M,60-80,60-70,C,0,Midlands,Tin,0,9,5
U,40-60,40-50,D,0,Midlands,Silver,0,5,5
U,40-60,50-60,D,1,Midlands,Tin,1,9,5
F,60-80,60-70,C,0,North,Silver,0,12,31
F,40-60,40-50,E,1,South East,Gold,1,10,6
F,20-40,30-40,B,1,South East,Silver,1,7,8
F,40-60,40-50,E,2,Midlands,Silver,1,17,6
M,40-60,50-60,D,0,South East,Tin,0,6,4
U,40-60,40-50,C,0,South East,Tin,0,8,8
F,40-60,40-50,D,0,South East,Tin,0,6,10
U,60-80,60-70,B,0,Midlands,Silver,0,10,8
F,20-40,30-40,B,1,North,Tin,1,12,5
U,40-60,50-60,C,0,North,Silver,0,5,11
U,40-60,40-50,D,0,North,Tin,0,6,5
M,40-60,40-50,C,0,Midlands,Silver,0,10,9
F,40-60,50-60,B,0,South East,Gold,0,9,10
F,60-80,60-70,F,0,South West,Gold,0,7,2
F,40-60,50-60,F,2,Midlands,Silver,1,18,9
M,40-60,50-60,D,0,South East,Silver,0,7,5
M,60-80,60-70,B,0,Midlands,Gold,0,7,5
M,40-60,40-50,C,0,North,Silver,0,8,8
M,40-60,50-60,D,0,North,Tin,0,3,5
F,40-60,40-50,E,1,North,Silver,1,8,10
M,60-80,70-80,D,0,Midlands,Gold,0,11,8
M,40-60,50-60,F,1,South West,Silver,1,8,5
F,20-40,30-40,F,0,Midlands,Tin,0,4,6
F,40-60,40-50,B,0,Midlands,Silver,0,8,5
F,40-60,50-60,C,1,North,Tin,1,8,5
U,60-80,60-70,B,0,North,Silver,0,11,9
M,60-80,70-80,F,0,North,Gold,0,7,5
U,60-80,60-70,B,0,North,Gold,0,5,2
M,20-40,20-30,F,0,Scottish,Silver,0,8,2
